DOR Code,Municipality,County,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernment,Other Expenses,Debt Service
040,Braintree,NORFOLK,"5,216,165","13,272,671","10,655,238","741,019","84,883,883","8,873,276","830,144","2,939,812","14,710,342","5,006,072",0,"10,291,247"
041,Brewster,BARNSTABLE,"4,322,969","3,419,257","3,600,883","1,286,783","26,054,818","3,923,795","938,854","1,292,387","7,252,876","669,441","569,720","3,207,645"
042,Bridgewater,PLYMOUTH,"4,345,327","6,550,545","7,145,732","436,852","38,959,471","1,734,450","506,467","974,990","9,065,988","439,319","299,532","927,604"
043,Brimfield,HAMPDEN,"888,279","436,157","263,478","351,171","6,675,781","887,659","213,694","127,729","1,008,490","129,940",0,"176,000"
044,Brockton,PLYMOUTH,"19,336,786","30,781,755","31,986,981","1,495,057","229,067,597","6,556,504","2,319,450","2,750,296","29,967,145","35,105,598","3,835","35,496,837"
045,Brookfield,WORCESTER,"1,050,951","594,604","239,297","430,236","5,378,124","708,134","101,865","248,612","1,363,289","159,933",0,"360,592"
046,Brookline,NORFOLK,"13,587,487","18,769,465","19,948,647","2,751,997","140,247,931","13,663,245","2,627,566","8,273,220","78,018,767","7,529,086",0,"35,718,059"
047,Buckland,FRANKLIN,"549,977","334,260",0,"29,329","3,121,872","912,603","128,917","111,726","335,833","22,029",0,"205,853"
048,Burlington,MIDDLESEX,"5,868,645","10,419,661","10,368,557","635,975","78,646,862","16,014,418","1,925,423","4,285,417","20,477,954","948,594",0,"6,925,377"
049,Cambridge,MIDDLESEX,"75,884,261","51,774,786","36,912,655","23,158,255","197,750,722","37,437,108","31,918,617","30,789,081","95,424,602","70,737,241","49,948","89,184,673"
050,Canton,NORFOLK,"5,535,099","6,366,072","6,917,556","1,507,552","56,963,017","6,304,806","1,271,823","2,880,711","10,150,912","1,504,688",0,"4,749,509"
051,Carlisle,MIDDLESEX,"2,695,088","2,112,518","577,004","823,833","20,697,984","1,190,228","415,448","890,747","3,340,000","57,948",0,"1,280,570"
052,Carver,PLYMOUTH,"3,130,714","3,027,526","885,237","1,396,788","24,204,553","3,311,345","644,245","496,462","8,236,754","1,590,715","151,271","2,816,280"
053,Charlemont,FRANKLIN,"388,304","165,253","133,018","96,181","2,291,669","638,500","26,883","30,006","270,096","11,226",700,"25,325"
054,Charlton,WORCESTER,"3,372,076","3,590,810","3,461,211","479,781","19,235,137","2,136,225","701,113","631,926","4,168,773","116,808","395,119","639,585"
055,Chatham,BARNSTABLE,"6,873,211","3,265,501","4,235,954","3,152,842","10,091,349","5,424,930","1,564,051","2,022,607","6,393,611","891,968","210,526","6,855,968"
056,Chelmsford,MIDDLESEX,"6,466,790","8,697,046","7,875,185","550,615","74,905,537","8,651,419","1,500,467","2,451,605","28,009,414","2,305,850",0,"10,909,634"
057,Chelsea,SUFFOLK,"7,398,077","13,213,662","12,017,029","4,389,651","119,387,180","9,063,343","1,524,658","1,340,534","11,919,631","21,353,209","256,890","2,353,972"
058,Cheshire,BERKSHIRE,"872,688","273,011","109,748","40,711","3,512,910","1,190,815","157,598","51,904","488,850","65,343",0,"272,947"
059,Chester,HAMPDEN,"435,217",0,"72,770","93,551","1,775,116","610,141","107,625","55,521","259,556","1,488",0,"7,697"
060,Chesterfield,HAMPSHIRE,"566,492","84,003","73,573","107,127","1,819,447","595,799","61,598","49,786","237,111","3,532",0,"298,287"
061,Chicopee,HAMPDEN,"17,795,147","15,109,166","14,118,217","807,581","114,285,610","8,106,207","2,356,430","5,913,486","34,334,460","10,983,142","1,669,298","7,004,150"
062,Chilmark,DUKES,"1,792,021","914,746","349,369","1,263,160","4,171,787","475,968","408,306","754,816","1,679,325","487,472","1,800","1,135,950"
