DOR Code,Municipality,County,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernment,Other Expenses,Debt Service
169,Marion,PLYMOUTH,"2,660,168","2,393,903","1,368,600","555,833","12,807,061","2,370,703","448,325","344,329","3,509,539","95,574",0,"660,297"
170,Marlborough,MIDDLESEX,"9,761,872","8,868,428","9,314,744","893,586","81,447,080","16,229,433","768,056","1,361,998","12,470,518","9,846,749",0,"8,662,987"
171,Marshfield,PLYMOUTH,"6,791,928","7,144,024","6,695,533","773,810","56,735,211","5,119,706","1,351,906","949,943","17,265,323","1,315,689","1,026,791","9,100,002"
172,Mashpee,BARNSTABLE,"5,543,713","6,134,239","5,921,036","633,903","27,046,761","5,704,569","1,028,544","1,054,684","13,186,358","2,698,184",0,"2,066,402"
173,Mattapoisett,PLYMOUTH,"1,940,440","2,634,962","913,666","904,487","15,130,971","1,850,260","515,715","689,658","4,214,270","160,093","515,225","1,278,611"
174,Maynard,MIDDLESEX,"2,981,192","3,052,771","2,565,159",0,"23,521,105","2,789,395","267,428","653,065","9,801,480","1,827,022","82,629","2,707,829"
175,Medfield,NORFOLK,"3,017,340","2,802,470","1,705,255","458,706","42,679,929","3,269,512","688,665","1,280,974","9,256,093","843,617",0,"4,075,285"
176,Medford,MIDDLESEX,"5,953,072","13,951,155","16,121,336","2,887,113","71,152,446","15,375,423","1,264,310","3,484,243","42,200,056","12,483,520",0,"5,091,124"
177,Medway,NORFOLK,"3,410,245","3,829,761","2,726,382","423,025","31,932,139","2,005,544","485,882","1,270,225","10,657,240","896,389","4,800,646","3,802,973"
178,Melrose,MIDDLESEX,"5,245,120","5,635,463","5,183,222","505,617","43,856,748","12,270,004","1,881,924","1,986,935","22,954,422","4,523,929","2,099,890","5,213,126"
179,Mendon,WORCESTER,"1,658,897","1,797,193","1,317,147","239,088","12,659,491","1,578,719","301,833","419,232","2,111,710","5,114",0,"872,795"
180,Merrimac,ESSEX,"1,500,780","1,619,524","955,091","332,740","12,988,405","1,559,423","506,895","379,246","1,449,594","116,815","34,408","794,680"
181,Methuen,ESSEX,"6,332,493","13,506,715","11,721,617","1,783,567","104,309,111","13,764,207","742,341","1,605,858","17,673,617","4,712,858",0,"5,246,729"
182,Middleborough,PLYMOUTH,"4,529,683","6,152,669","4,471,839","527,331","44,500,320","2,041,110","1,908,834","1,360,259","21,254,771","1,913,517","1,484,117","6,531,384"
183,Middlefield,HAMPSHIRE,"259,377","60,835","20,976","16,670","410,534","553,738","21,109","34,876","153,560",70,0,0
184,Middleton,ESSEX,"2,396,629","2,306,726","2,520,576","325,120","26,779,710","2,089,471","552,947","754,717","3,439,636","329,201",0,"3,805,330"
185,Milford,WORCESTER,"7,694,302","8,142,475","5,946,658","656,328","74,209,536","7,453,808","1,337,196","2,804,364","21,961,768","4,486,000",0,"3,888,889"
186,Millbury,WORCESTER,"2,098,278","3,258,127","812,637","287,072","26,484,278","2,684,645","502,897","654,812","9,244,599","703,164","8,977","5,384,496"
187,Millis,NORFOLK,"3,070,607","2,584,728","1,820,871","1,321,845","20,671,601","1,763,046","342,812","932,712","6,929,113","374,511","1,602","3,653,483"
188,Millville,WORCESTER,"738,114","643,073","327,517","121,834","4,259,834","523,243","89,299","52,470","371,008",0,0,"44,944"
189,Milton,NORFOLK,"4,868,224","8,078,347","6,773,692","697,250","62,651,040","6,609,516","865,494","2,493,577","11,430,817","4,221,242","288,409","4,940,938"
190,Monroe,FRANKLIN,"98,391","1,027","18,725","4,192","273,528","368,105","2,970",612,"102,602","32,324",256,"55,612"
191,Monson,HAMPDEN,"1,662,690","1,922,531","435,857","982,677","12,867,781","1,526,996","358,885","594,042","5,917,140","10,997","133,844","1,859,933"
192,Montague,FRANKLIN,"1,742,991","2,328,872",0,"256,677","13,036,490","2,694,162","263,384","911,839","2,442,854","218,168",0,"1,157,252"
193,Monterey,BERKSHIRE,"493,393","358,316","280,232","160,435","1,833,333","1,008,506","50,156","274,121","432,811","2,058",0,"257,889"
194,Montgomery,HAMPDEN,"245,939","63,648","34,811","51,395","1,298,633","258,182","11,594","27,500","163,414",0,"3,491","44,641"
195,Mount Washington,BERKSHIRE,"112,708","3,388","24,000","27,764","199,610","514,687","10,749","2,024","96,707",0,0,0
196,Nahant,ESSEX,"1,464,829","1,693,062","1,355,657","170,929","4,450,433","635,968","177,544","292,274","2,516,471","325,225",0,"525,947"
197,Nantucket,NANTUCKET,"11,182,378","6,427,895","4,272,002","3,009,296","37,839,425","4,123,984","1,879,972","3,208,034","10,058,625","1,422,217","210,434","14,827,837"
198,Natick,MIDDLESEX,"14,239,615","8,105,168","10,836,670","236,952","84,694,338","10,214,181","1,921,254","3,990,402","34,021,157","1,376,799","18,819","15,724,178"
199,Needham,NORFOLK,"11,240,547","8,449,142","10,384,270","3,321,433","100,522,575","9,491,211","2,661,354","3,296,182","37,828,113","1,642,017","870,055","20,485,124"
200,New Ashford,BERKSHIRE,"84,838",598,"35,259","2,986","269,196","119,875","9,391",0,0,0,"5,442",0
201,New Bedford,BRISTOL,"27,794,783","28,256,274","22,571,173","6,554,869","244,063,920","15,054,807","4,144,783","5,744,588","59,074,203","34,257,310",0,"8,878,651"
202,New Braintree,WORCESTER,"231,473","218,958","130,036","30,831","1,520,329","399,673","14,890","25,286","197,602","28,116",0,"138,079"
203,New Marlborough,BERKSHIRE,"448,373","402,516","115,924","472,327","2,821,274","2,135,318","164,235","151,211","479,924","10,437","21,375","165,892"
204,New Salem,FRANKLIN,"336,682","143,197","108,572","87,894","1,934,647","543,417","3,081","77,659","133,269",0,"1,516","298,383"
205,Newbury,ESSEX,"2,643,150","1,454,024","1,333,342","535,851","11,645,122","1,371,511","463,444","437,922","2,129,581","161,448",0,"806,471"
206,Newburyport,ESSEX,"4,102,788","4,621,902","4,716,960","843,448","38,564,593","6,472,566","1,417,453","1,892,872","15,950,721","2,287,814",0,"4,476,532"
207,Newton,MIDDLESEX,"21,273,478","24,770,562","26,367,021","1,683,329","227,070,108","36,083,260","5,404,988","16,677,810","48,671,536","7,035,664",0,"25,264,712"
208,Norfolk,NORFOLK,"3,037,089","3,450,108","3,213,039","738,808","27,160,851","2,862,291","263,027","964,167","6,219,825","685,517","332,050","3,074,680"
209,North Adams,BERKSHIRE,"2,230,126","2,594,518","2,024,727","609,474","20,618,168","5,045,832","645,788","721,562","10,284,859","4,013,970","1,179,665","1,197,451"
210,North Andover,ESSEX,"5,783,874","6,332,468","6,903,983","340,066","64,823,870","5,895,365","1,368,480","1,188,585","20,795,916","794,952","1,210,568","4,210,520"
211,North Attleborough,BRISTOL,"4,398,741","6,357,280","5,141,749","2,596,056","52,102,834","2,127,649","948,555","1,490,750","15,641,433","5,141,175","899,925","3,737,999"
212,North Brookfield,WORCESTER,"523,896","693,101","253,329","219,528","7,555,597","822,428","110,174","140,361","2,863,587","1,534,460",0,"1,077,803"
213,North Reading,MIDDLESEX,"4,176,700","4,260,569","3,973,922","469,487","38,358,465","5,463,000","878,209","808,832","14,024,375","225,884",0,"7,487,256"
214,Northampton,HAMPSHIRE,"9,384,171","6,807,138","8,836,751","1,428,202","49,405,918","4,483,507","2,367,394","2,488,058","24,261,025","4,148,710",0,"4,887,741"
215,Northborough,WORCESTER,"3,515,731","3,139,557","2,487,221","317,569","43,431,084","2,979,378","622,230","1,466,570","9,213,067","284,354",0,"2,099,836"
216,Northbridge,WORCESTER,"1,875,421","3,274,776","1,413,659","1,233,133","28,337,743","2,570,883","961,729","773,321","8,232,532","1,427,625","20,604","4,906,696"
217,Northfield,FRANKLIN,"958,855","514,480","115,937","64,556","5,392,200","1,576,241","147,125","265,318","563,629","32,880","45,910",0
218,Norton,BRISTOL,"2,901,611","4,544,319","4,812,933","995,379","36,449,353","1,520,692","627,588","685,893","13,091,788","1,704,098","803,152","5,172,769"
219,Norwell,PLYMOUTH,"3,162,815","4,012,422","3,138,817","884,759","33,413,261","4,400,294","620,673","975,129","10,958,116","1,438,710",0,"2,935,647"
220,Norwood,NORFOLK,"14,669,778","10,164,181","8,470,968","655,029","60,558,699","8,516,608","1,341,509","3,057,159","23,931,405","2,659,544",0,"12,491,350"
221,Oak Bluffs,DUKES,"3,617,444","2,921,843","623,746","1,576,720","15,760,849","1,907,948","441,150","967,646","5,256,769","1,031,482","2,123,481","3,175,812"
222,Oakham,WORCESTER,"409,368","265,885","216,132","122,876","2,835,858","337,389","29,187","103,360","253,604","3,040",0,"32,013"
223,Orange,FRANKLIN,"1,278,115","1,520,664","1,700,367","241,492","14,043,506","1,893,191","192,791","379,675","3,767,248","468,288","107,034","1,678,187"
224,Orleans,BARNSTABLE,"3,633,925","3,124,442","3,884,230","1,001,735","12,673,592","1,229,473","1,348,291","2,015,538","5,796,493","665,060",0,"7,107,151"
225,Otis,BERKSHIRE,"1,285,670","447,778","72,682","351,946","2,514,411","1,482,212","84,638","95,065","586,557","31,385","23,272","838,060"
226,Oxford,WORCESTER,"4,276,955","2,912,571",0,"2,631,702","21,882,563","4,200,342","314,521","895,605","7,866,025","1,021,325","469,706","1,120,650"
227,Palmer,HAMPDEN,"1,758,801","2,922,599",0,"227,362","19,714,831","1,824,477","544,471","1,000,963","8,760,451","1,531,367",0,"1,235,762"
228,Paxton,WORCESTER,"981,207","1,187,112","402,047","1,016,486","7,937,405","1,480,947","95,741","228,175","1,594,222","44,794","50,170","606,882"
229,Peabody,ESSEX,"10,965,944","12,271,186","13,455,549","167,200","84,279,727","9,508,008","3,959,688","5,163,006","42,699,308","4,423,061","163,999","8,605,188"
230,Pelham,HAMPSHIRE,"382,405","266,911","94,086","56,700","3,180,273","469,001","37,686","59,020","578,278","75,064","1,924","66,825"
231,Pembroke,PLYMOUTH,"2,275,999","4,974,250","4,199,759","625,388","37,777,721","2,036,840","446,408","995,888","14,737,306","1,264,116","602,337","4,019,306"
232,Pepperell,MIDDLESEX,"2,031,327","2,339,155","376,609","1,673,652","21,181,592","2,003,755","382,631","654,321","3,137,400","28,574","102,844","71,163"
233,Peru,BERKSHIRE,"327,110","120,374","32,231","5,861","1,208,959","502,701","14,025","29,609","209,448","1,526",0,"30,165"
234,Petersham,WORCESTER,"325,722","351,102","145,131","49,178","2,913,485","524,432","45,068","27,868","407,673","44,762",0,"308,466"
235,Phillipston,WORCESTER,"675,493","423,973","310,269","133,690","2,145,547","443,779","91,995","29,474","340,717","-2,968",0,"36,458"
236,Pittsfield,BERKSHIRE,"7,382,946","13,870,539","9,467,813","655,364","79,226,914","11,195,842","1,898,444","2,334,243","49,555,319","8,275,560","309,741","11,283,385"
237,Plainfield,HAMPSHIRE,"422,780","165,540","58,980","57,668","1,226,599","726,628","1,813","51,530","214,798",116,"10,865","176,863"
238,Plainville,NORFOLK,"2,663,582","3,393,067","3,659,715","373,297","19,337,092","1,188,574","484,862","358,146","5,524,749","1,016,598","277,358","2,860,129"
239,Plymouth,PLYMOUTH,"13,361,112","15,786,053","16,160,788","1,913,641","114,931,425","11,029,469","1,618,554","4,067,338","28,055,422","10,136,234","7,594","15,849,719"
240,Plympton,PLYMOUTH,"1,441,158","1,722,540",0,"1,200,535","6,995,590","1,038,046","138,663","230,011","1,425,263",0,0,"217,606"
241,Princeton,WORCESTER,"1,062,045","1,228,127","297,538","474,280","6,203,042","1,600,759","155,984","288,668","797,384","28,482",0,"642,297"
242,Provincetown,BARNSTABLE,"3,453,132","4,095,530","3,468,672","2,808,713","5,179,637","6,302,081","872,190","764,673","8,530,048","603,433","4,632","2,514,310"
243,Quincy,NORFOLK,"23,791,006","39,683,386","36,848,591","6,804,010","131,477,617","19,157,397","4,334,916","10,944,251","68,077,716","5,486,050","4,194","63,580,434"
244,Randolph,NORFOLK,"4,097,253","9,800,138","8,551,202","584,973","53,577,033","5,789,357","742,027","2,866,737","21,981,921","6,987,970",0,"4,629,474"
245,Raynham,BRISTOL,"2,109,274","6,330,990","4,572,248","1,271,925","25,572,570","3,697,072","495,287","730,554","5,368,941","446,962","2,433","1,566,731"
246,Reading,MIDDLESEX,"6,027,232","7,288,906","6,176,500","245,004","57,931,255","7,712,336","699,798","2,706,519","21,493,597","828,378","58,806","6,040,335"
247,Rehoboth,BRISTOL,"3,874,718","3,346,437","648,931","879,073","23,048,147","1,213,877","525,809","310,990","3,052,777","427,175","538,899","434,959"
248,Revere,SUFFOLK,"10,703,667","14,467,020","14,511,762","3,488,638","119,583,146","3,979,589","2,220,403","1,750,203","42,294,376","18,247,230","1,960,129","9,834,072"
249,Richmond,BERKSHIRE,"667,374","4,508","114,330","204,407","4,095,968","1,270,283","65,558","81,764","540,129","157,453","48,116","426,950"
250,Rochester,PLYMOUTH,"1,816,483","1,948,190","488,644","1,062,495","14,102,394","1,189,428","527,343","285,137","2,398,757","145,273","20,307","1,047,057"
251,Rockland,PLYMOUTH,"3,386,219","4,647,202","4,863,031","735,383","32,935,079","4,973,496","1,198,250","1,186,204","14,503,815","3,605,023","607,280","5,926,904"
252,Rockport,ESSEX,"3,115,260","2,537,788","345,503","928,587","14,491,570","3,966,028","172,645","910,359","7,823,339","1,066,759","367,439","912,364"
253,Rowe,FRANKLIN,"533,301","84,804","715,087",650,"1,679,911","681,046","100,046","289,504","873,356","83,384","40,708","538,343"
254,Rowley,ESSEX,"1,530,978","1,890,030","974,591","226,853","13,204,129","674,995","448,574","506,407","1,940,299","120,811",0,"2,246,139"
255,Royalston,WORCESTER,"360,133","137,550","163,698","58,409","809,174","651,197","142,065","87,784","191,143",0,0,"89,552"
256,Russell,HAMPDEN,"495,497","222,266","134,396","-1,835","2,645,525","476,002","37,416","96,345","403,577","15,002",300,"43,582"
257,Rutland,WORCESTER,"1,360,610","1,682,007","1,592,364","803,957","16,004,059","1,321,869","139,302","309,068","2,326,027","37,722","94,820","1,029,153"
258,Salem,ESSEX,"8,044,428","12,016,275","10,347,606","1,007,183","73,994,898","7,097,611","1,772,296","3,852,416","33,413,930","10,469,965",0,"8,621,961"
259,Salisbury,ESSEX,"2,186,013","3,934,651","2,102,311","366,922","16,342,089","1,903,522","486,556","534,019","4,227,675","159,453",0,"1,434,064"
260,Sandisfield,BERKSHIRE,"545,096","55,641","294,175","11,393","1,583,299","1,138,908","60,015","36,438","260,948",0,0,0
261,Sandwich,BARNSTABLE,"5,812,460","5,500,997","6,825,978","357,513","41,045,923","3,690,074","814,183","1,813,297","14,252,661","10,106,980",0,"4,728,104"
262,Saugus,ESSEX,"4,054,452","8,539,975","6,555,779","1,236,651","34,737,459","7,905,157","825,144","1,279,855","27,173,740","5,864,434","40,269","9,272,965"
263,Savoy,BERKSHIRE,"159,728","11,595","27,593","14,977","987,649","473,149","26,774","7,427","177,131","88,386",0,0
264,Scituate,PLYMOUTH,"5,649,859","5,208,790","5,979,002","1,088,895","49,433,097","5,260,024","766,796","1,284,788","15,205,391","727,658","837,772","7,850,718"
265,Seekonk,BRISTOL,"3,380,463","5,115,110","4,448,016","1,547,670","33,011,577","2,261,529","602,630","1,165,014","11,939,715","702,394","23,176","2,590,006"
266,Sharon,NORFOLK,"2,571,715","4,028,052","4,217,704","340,526","52,650,265","3,997,326","644,469","1,607,277","6,796,437","1,059,238",0,"12,672,382"
267,Sheffield,BERKSHIRE,"816,057","678,163","146,014","124,037","8,090,970","2,933,178","143,659","270,900","786,272",0,0,0
268,Shelburne,FRANKLIN,"496,383","590,314",66,"29,268","2,968,611","819,383","124,020","163,037","383,516","51,526",0,"74,862"
269,Sherborn,MIDDLESEX,"2,313,749","2,173,622","646,654","416,957","19,170,261","1,755,968","392,840","728,372","3,298,330","115,252",0,"1,826,984"
270,Shirley,MIDDLESEX,"1,341,118","1,465,747","556,200","100,941","9,687,367","692,013","225,437","296,472","1,903,342","62,799",0,"620,764"
271,Shrewsbury,WORCESTER,"10,705,062","7,193,050","5,259,508","656,215","82,910,343","3,758,289","703,178","2,761,965","21,569,285","1,319,378",0,"12,488,733"
272,Shutesbury,FRANKLIN,"574,751","208,005","133,412","54,745","4,003,159","501,179","30,128","99,748","812,402","173,902","6,581","6,574"
273,Somerset,BRISTOL,"2,384,988","4,528,446","3,026,392","426,230","35,433,482","2,113,376","557,947","1,085,279","13,200,484","826,663","27,415","3,193,987"
274,Somerville,MIDDLESEX,"50,220,457","17,332,625","21,255,248","8,801,144","98,431,134","21,490,811","5,354,418","6,178,378","45,449,710","14,212,662","2,781,709","21,051,106"
275,South Hadley,HAMPSHIRE,"2,694,348","3,521,966",0,"223,522","24,246,655","1,981,689","1,091,905","1,060,572","9,872,878","3,249,668",0,"3,363,238"
276,Southampton,HAMPSHIRE,"820,041","1,191,515","305,886","702,049","13,398,333","981,200","177,165","197,258","2,447,434","10,875","42,373","563,845"
277,Southborough,WORCESTER,"3,966,111","2,793,552","2,732,991","189,237","32,647,186","3,932,423","936,927","766,256","9,334,941","255,299","383,946","1,856,902"
278,Southbridge,WORCESTER,"2,775,196","4,872,526","3,034,448","371,598","35,444,001","2,254,257","828,908","624,317","5,363,052","4,131,021","4,686,951","2,971,458"
279,Southwick,HAMPDEN,"2,605,895","2,528,460","383,650","1,363,540","12,940,425","2,965,422","358,868","673,553","2,967,439","71,031","35,018","1,226,064"
280,Spencer,WORCESTER,"1,407,927","2,533,754","1,327,036","346,743","11,669,437","2,159,351","362,278","577,036","2,590,763","129,389",0,"1,343,510"
281,Springfield,HAMPDEN,"32,256,752","60,906,121","29,081,264","4,449,899","495,126,795","11,563,837","3,803,756","18,697,790","168,948,560","3,718,653",0,"28,438,066"
282,Sterling,WORCESTER,"1,911,306","2,522,786","1,221,042","813,882","14,170,348","2,889,484","250,192","993,075","2,864,848",0,0,"384,859"
283,Stockbridge,BERKSHIRE,"2,357,208","998,068","295,871","467,820","3,799,767","1,113,417","183,769","348,186","1,267,734","54,448",0,"2,507,511"
284,Stoneham,MIDDLESEX,"3,549,443","5,304,331","4,513,069","901,891","36,050,187","2,808,428","742,063","1,702,405","18,378,820","4,004,841","271,208","8,620,334"
285,Stoughton,NORFOLK,"4,850,878","7,375,325","7,165,125","929,841","61,465,204","5,683,460","928,213","1,972,756","22,914,027","5,068,300","12,549","8,404,165"
286,Stow,MIDDLESEX,"2,928,319","1,780,223","983,305","171,018","21,730,837","1,682,127","549,531","471,075","2,836,156","116,208","17,977","2,015,735"
287,Sturbridge,WORCESTER,"2,353,485","3,567,200","2,160,181","293,315","21,894,889","2,394,681","715,837","1,752,817","4,619,902","633,374","376,079","1,376,799"
288,Sudbury,MIDDLESEX,"3,662,740","4,517,158","5,225,089","300,478","74,101,542","7,151,571","863,586","1,907,258","13,402,457","260,525",0,"3,093,131"
289,Sunderland,FRANKLIN,"850,079","661,724","130,076","276,740","5,793,336","412,993","89,024","278,838","1,035,419","263,341","63,947","274,451"
290,Sutton,WORCESTER,"1,791,801","2,298,758","697,387","368,838","22,510,358","1,274,457","310,334","304,400","5,634,512","80,636","291,856","3,278,737"
291,Swampscott,ESSEX,"4,273,205","4,237,199","4,364,823","267,204","31,517,835","1,383,275","517,866","888,376","13,078,433","1,657,186","564,933","7,069,094"
292,Swansea,BRISTOL,"2,855,750","5,099,393","1,240,102","263,859","27,723,170","2,453,049","912,615","928,971","10,814,014","1,046,674",0,"620,441"
293,Taunton,BRISTOL,"9,004,428","21,533,137","16,178,629","1,591,961","118,769,740","11,229,944","2,633,172","3,561,528","57,405,713","5,573,329","110,207","5,250,958"
294,Templeton,WORCESTER,"1,559,085","1,575,418","664,974","227,772","8,350,867","1,255,718","81,505","261,417","2,824,740","146,508","10,618","2,108,747"
295,Tewksbury,MIDDLESEX,"3,761,932","9,457,978","8,651,075","746,899","63,554,500","10,210,367","1,157,542","2,190,767","12,371,989","1,688,544",0,"13,364,217"
296,Tisbury,DUKES,"2,800,558","2,600,933","689,237","1,819,528","14,349,378","2,044,208","658,334","685,631","5,466,121","2,200,563","54,314","6,627,387"
297,Tolland,HAMPDEN,"1,060,859","145,767","93,438","10,022","527,665","546,271","13,460","24,836","204,459",0,"9,733","170,287"
298,Topsfield,ESSEX,"1,795,658","1,837,599","1,347,586","186,509","20,901,390","2,034,599","287,679","689,028","4,536,108","224,371",0,"1,096,063"
299,Townsend,MIDDLESEX,"1,756,438","1,666,185","1,460,856","534,169","14,918,837","2,025,343","330,387","508,869","2,382,355","76,623",359,"495,223"
300,Truro,BARNSTABLE,"4,328,639","2,280,294","2,977,594","221,519","6,167,805","1,622,927","847,639","1,557,872","3,652,877","654,058",0,"816,675"
301,Tyngsborough,MIDDLESEX,"2,320,064","3,176,873","1,383,567","1,128,633","25,097,162","3,653,435","535,372","662,489","7,697,888","1,796,735","706,112","1,346,088"
302,Tyringham,BERKSHIRE,"419,559","103,571","86,297","38,030","242,450","751,961","5,998","13,595","251,524","73,893","44,770",0
303,Upton,WORCESTER,"2,340,350","1,920,942","1,294,348","234,729","15,821,980","1,925,155","371,591","387,218","2,145,450","65,326","2,900","775,495"
304,Uxbridge,WORCESTER,"4,565,991","3,191,214","2,661,549","326,194","27,440,975","3,140,434","686,062","428,359","10,086,241","905,577",0,"2,082,401"
305,Wakefield,MIDDLESEX,"2,696,885","7,285,824","7,085,770","670,559","52,337,200","12,403,851","757,382","2,130,413","20,479,759","2,300,646",0,0
306,Wales,HAMPDEN,"472,659","131,634","153,504","115,023","2,968,273","462,831","138,650","63,463","741,542","276,744",0,"52,988"
307,Walpole,NORFOLK,"6,143,161","7,112,781","6,372,160","696,124","55,196,102","6,473,607","809,788","2,370,813","19,708,797","1,545,663","1,221,200","7,677,057"
308,Waltham,MIDDLESEX,"15,092,861","20,850,964","21,072,340","4,524,609","106,742,106","16,659,521","2,646,806","5,470,742","25,739,323","2,140,370","13,481","18,561,337"
309,Ware,HAMPSHIRE,"1,927,730","1,914,374","1,426,465","1,191,577","18,016,375","1,504,297","591,240","617,402","6,687,763","1,352,352","264,547","620,013"
310,Wareham,PLYMOUTH,"4,297,049","6,821,553",0,"1,180,907","36,262,007","3,157,103","720,765","399,092","15,364,340","6,094,361","614,777","2,163,222"
311,Warren,WORCESTER,"996,674","962,397","640,182","650,420","4,919,982","928,335","378,020","258,262","1,256,399","13,825","41,373","174,092"
312,Warwick,FRANKLIN,"353,130","145,754","57,978","66,571","1,272,347","422,771","6,841","38,586","221,890","75,909",0,"6,911"
313,Washington,BERKSHIRE,"297,622","27,787","27,735","5,861","1,019,019","595,914","10,723","45,641","134,604",471,0,"113,613"
314,Watertown,MIDDLESEX,"10,100,361","10,972,865","13,330,244","24,901","57,047,398","12,248,989","1,455,216","4,548,076","19,774,863","3,148,484",0,"24,189,001"
315,Wayland,MIDDLESEX,"5,617,560","3,365,822","3,507,031","1,296,393","50,112,661","3,473,964","1,877,758","1,535,205","16,999,296","187,821","1,544,934","8,351,117"
316,Webster,WORCESTER,"2,500,735","4,125,326","1,155,094","521,664","29,511,233","1,528,690","491,531","601,146","11,708,606","2,103,287",0,"4,471,332"
317,Wellesley,NORFOLK,"16,440,924","7,720,016","7,309,389","709,431","89,921,786","11,526,289","1,917,677","3,496,001","30,407,126","1,407,314","133,339","19,140,672"
318,Wellfleet,BARNSTABLE,"2,997,579","2,530,465","3,472,973","832,880","7,181,916","2,833,183","1,093,366","1,306,576","4,456,517","476,892","920,089","2,037,416"
319,Wendell,FRANKLIN,"397,901","74,841","70,216","92,994","2,104,135","534,668","32,255","67,314","148,646",0,"1,853","248,426"
320,Wenham,ESSEX,"1,652,975","1,747,436","900,946","150,049","11,848,346","1,492,583","197,017","1,159,004","2,110,109","157,538",0,"368,930"
321,West Boylston,WORCESTER,"1,277,244","1,910,604","1,259,993","291,939","14,046,747","2,230,177","206,881","511,161","6,024,616","355,996","262,105","917,901"
322,West Bridgewater,PLYMOUTH,"1,885,942","3,337,505","2,778,492","184,369","17,194,271","1,938,239","498,440","563,461","6,974,551","855,830",0,"2,836,858"
323,West Brookfield,WORCESTER,"825,039","799,942","156,227","95,157","4,807,479","1,024,979","159,239","235,517","907,382","1,182","2,844","119,875"
324,West Newbury,ESSEX,"1,519,834","1,186,703","275,857","492,398","9,838,721","2,432,059","385,775","464,042","1,311,317","89,156",0,0
325,West Springfield,HAMPDEN,"10,747,864","8,586,203","6,141,911","355,600","50,361,324","5,164,254","1,351,536","1,817,785","10,748,913","5,408,451","93,351","7,037,481"
326,West Stockbridge,BERKSHIRE,"633,879","537,914","69,477","110,677","3,391,845","745,471","40,121","71,764","506,333","1,941","203,918","276,418"
327,West Tisbury,DUKES,"2,221,209","1,572,609","441,916","1,188,098","12,798,416","740,389","605,992","1,241,663","1,741,508","402,392",0,"977,042"
328,Westborough,WORCESTER,"4,440,743","4,414,013","6,921,212","834,738","64,740,386","6,160,883","920,942","1,623,939","21,894,473","671,039","7,551","13,580,752"
329,Westfield,HAMPDEN,"8,760,375","8,722,138","5,691,533","1,815,879","69,339,361","13,495,070","1,799,331","1,480,766","14,881,752","7,056,935","2,400","6,735,723"
330,Westford,MIDDLESEX,"5,223,485","5,871,853","4,793,492","1,345,061","67,152,132","6,159,232","1,145,785","2,357,522","9,290,507","675,985","1,074,728","3,220,448"
331,Westhampton,HAMPSHIRE,"378,990","174,487","60,631","101,996","3,221,481","710,524","40,869","122,882","710,916","2,363","126,345","256,850"
332,Westminster,WORCESTER,"1,988,593","2,648,250","1,446,304","987,281","12,506,369","2,830,373","383,073","624,585","2,849,784","68,839","2,971","250,879"
333,Weston,MIDDLESEX,"6,671,788","4,675,119","4,873,657","328,857","46,524,148","6,526,210","940,929","1,682,234","18,639,309","300,002",0,"9,828,944"
334,Westport,BRISTOL,"3,384,161","4,027,833","2,603,428","306,710","23,467,474","1,506,427","977,571","385,490","7,699,858","1,619,567","3,379","5,008,219"
335,Westwood,NORFOLK,"4,204,092","5,513,189","6,460,353","480,236","55,200,667","7,472,978","1,361,406","2,205,280","16,197,104","805,268","656,862","7,526,704"
336,Weymouth,NORFOLK,"7,462,036","15,487,915","12,498,219","721,618","88,851,207","11,209,917","1,136,744","2,862,836","16,896,224","3,230,823","22,974","14,252,086"
337,Whately,FRANKLIN,"654,885","384,212","93,318","121,874","3,289,421","502,515","70,599","129,455","707,368","99,001",0,"48,659"
338,Whitman,PLYMOUTH,"2,617,604","3,822,896","4,280,451","343,517","22,103,728","3,146,617","545,753","593,563","5,250,618","208,821","17,315","619,706"
339,Wilbraham,HAMPDEN,"3,472,075","2,898,631","2,469,168","788,306","29,187,941","2,580,663","409,651","1,450,351","5,155,430","123,679",0,"945,611"
340,Williamsburg,HAMPSHIRE,"670,841","342,150","214,988","248,740","4,677,071","933,549","141,166","213,849","1,131,253","239,199",0,"589,350"
341,Williamstown,BERKSHIRE,"1,667,025","1,797,672",0,"310,429","13,543,804","2,586,433","454,568","753,605","2,471,196","47,864",0,"547,188"
342,Wilmington,MIDDLESEX,"5,430,209","6,742,314","5,804,061","1,290,238","60,292,211","7,888,774","563,885","2,469,947","10,936,620","1,146,838","2,406,533","3,359,164"
343,Winchendon,WORCESTER,"1,776,429","1,928,288","1,384,789","291,553","19,167,897","1,687,547","503,042","255,356","4,979,404","987,771","372,998","930,617"
344,Winchester,MIDDLESEX,"9,138,598","6,154,246","6,578,498","1,299,536","64,744,510","11,438,902","923,718","2,402,443","21,661,909","675,242","29,485","13,504,423"
345,Windsor,BERKSHIRE,"309,550","39,217","111,773","25,127","1,076,931","783,799","9,112","22,336","157,001","1,521",0,"171,612"
346,Winthrop,SUFFOLK,"3,297,352","4,116,555","3,480,862","841,225","26,486,993","2,341,152","514,631","653,149","12,292,726","1,296,304","13,555","3,830,025"
347,Woburn,MIDDLESEX,"9,363,534","9,966,776","11,304,772","631,339","81,934,497","9,632,197","1,287,683","2,678,282","34,253,281","5,429,594",0,"7,684,550"
